Ont	Terms	Annotated	Significant	Expected	classic	Genes
BP	GO:0046483:Heterocycle metabolic process	2002	39	21.88	4.4e-06	ADA2,CDC16,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0006725:Cellular aromatic compound metabolic process	2003	39	21.89	4.5e-06	ADA2,CDC16,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0018193:Peptidyl-amino acid modification	189	11	2.07	4.6e-06	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0051304:Chromosome separation	65	7	0.71	5.5e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0007067:Mitotic nuclear division	233	12	2.55	5.7e-06	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GLC7
BP	GO:0006353:DNA-templated transcription, termination	43	6	0.47	5.8e-06	CFT1,GLC7,PTA1,PTI1,REF2,YSH1
BP	GO:0045899:Positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	12	4	0.13	6.0e-06	RPT1,RPT3,RPT6,SGF73
BP	GO:1901360:Organic cyclic compound metabolic process	2061	39	22.52	1.0e-05	ADA2,CDC16,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0051301:Cell division	294	13	3.21	1.2e-05	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GLC7,PAT1
BP	GO:0045898:Regulation of RNA polymerase II transcriptional preinitiation complex assembly	14	4	0.15	1.2e-05	RPT1,RPT3,RPT6,SGF73
BP	GO:0051983:Regulation of chromosome segregation	73	7	0.8	1.2e-05	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0060261:Positive regulation of transcription initiation from RNA polymerase II promoter	15	4	0.16	1.6e-05	RPT1,RPT3,RPT6,SGF73
BP	GO:2000144:Positive regulation of DNA-templated transcription, initiation	15	4	0.16	1.6e-05	RPT1,RPT3,RPT6,SGF73
BP	GO:0033044:Regulation of chromosome organization	77	7	0.84	1.7e-05	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0006351:Transcription, DNA-templated	769	21	8.4	3.0e-05	ADA2,CFT1,GCN5,GLC7,HFI1,NGG1,PTA1,PTI1,REF2,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1
BP	GO:0097659:Nucleic acid-templated transcription	769	21	8.4	3.0e-05	ADA2,CFT1,GCN5,GLC7,HFI1,NGG1,PTA1,PTI1,REF2,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1
BP	GO:0032774:RNA biosynthetic process	773	21	8.45	3.3e-05	ADA2,CFT1,GCN5,GLC7,HFI1,NGG1,PTA1,PTI1,REF2,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1
BP	GO:0008380:RNA splicing	156	9	1.7	4.0e-05	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,SPT20,YSH1
BP	GO:0007088:Regulation of mitotic nuclear division	89	7	0.97	4.4e-05	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0008033:TRNA processing	128	8	1.4	6.4e-05	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,PTA1
BP	GO:0060260:Regulation of transcription initiation from RNA polymerase II promoter	21	4	0.23	6.7e-05	RPT1,RPT3,RPT6,SGF73
BP	GO:2000142:Regulation of DNA-templated transcription, initiation	21	4	0.23	6.7e-05	RPT1,RPT3,RPT6,SGF73
BP	GO:0048285:Organelle fission	365	13	3.99	0.00011	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GLC7,RPN11
BP	GO:0030847:Termination of RNA polymerase II transcription, exosome-dependent	10	3	0.11	0.00014	GLC7,PTA1,PTI1
BP	GO:0033962:Cytoplasmic mRNA processing body assembly	11	3	0.12	0.00019	LSM3,LSM4,PAT1
BP	GO:0070682:Proteasome regulatory particle assembly	11	3	0.12	0.00019	RPT1,RPT3,RPT6
BP	GO:0030071:Regulation of mitotic metaphase/anaphase transition	51	5	0.56	0.00021	APC11,APC4,CDC23,CDC26,GLC7
BP	GO:1902099:Regulation of metaphase/anaphase transition of cell cycle	51	5	0.56	0.00021	APC11,APC4,CDC23,CDC26,GLC7
BP	GO:0031126:SnoRNA 3'-end processing	29	4	0.32	0.00025	PAP1,PTI1,REF2,YSH1
BP	GO:0000398:MRNA splicing, via spliceosome	118	7	1.29	0.00026	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
BP	GO:0000377:RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	119	7	1.3	0.00028	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
BP	GO:0000280:Nuclear division	354	12	3.87	0.00035	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GLC7
BP	GO:0000070:Mitotic sister chromatid segregation	124	7	1.35	0.00036	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0000290:Deadenylation-dependent decapping of nuclear-transcribed mRNA	14	3	0.15	0.00041	DCP1,LSM1,PAT1
BP	GO:0000375:RNA splicing, via transesterification reactions	128	7	1.4	0.00043	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
BP	GO:0065003:Macromolecular complex assembly	595	16	6.5	0.00044	APC5,APC9,CDC26,DOC1,LSM3,LSM4,PAT1,RPN10,RPN11,RPN2,RPN6,RPT1,RPT3,RPT6,SGF73,SPT7
BP	GO:0009987:Cellular process	4653	58	50.84	0.00046	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0051783:Regulation of nuclear division	130	7	1.42	0.00048	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0060255:Regulation of macromolecule metabolic process	1070	23	11.69	0.00048	ADA2,CDC16,DOC1,GCN5,GLC7,HFI1,NGG1,PAT1,REF2,RPN1,RPN2,RPN3,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0034641:Cellular nitrogen compound metabolic process	2389	39	26.1	0.00050	ADA2,CDC16,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0042176:Regulation of protein catabolic process	35	4	0.38	0.00052	RPN1,RPN2,RPN3,RPT1
BP	GO:0080090:Regulation of primary metabolic process	1080	23	11.8	0.00055	ADA2,CDC16,DOC1,GCN5,GLC7,HFI1,NGG1,PAT1,REF2,RPN1,RPN2,RPN3,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
